Node ID,Species ID ,Stage ID,Stage,Species.StageID,WorkingName,OrganismalGroup,NodeType,Resolution,ResolutionNotes,Feeding,LifestyleStage,LifestyleSpecies,ConsumerStrategyStage,System,HabitatAffiliation,Mobility,Residency,NativeStatus,BodySize(g),BodySizeEstimation,BodySizeNotes,BodySizeN,Biomass(kg/ha),BiomassEstimation,BiomassNotes,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Order,Suborder,Infraorder,Superfamily,Family,Genus,Specific epithet,Subspecies,Node notes,
2,2,1,Adult,2.1,Carrion,Detritus,Detritus/Stock,Assemblage,,,,,,,,Low,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,1,Adult,1.1,Detritus,Detritus,Detritus/Stock,Assemblage,,,,,,,,Low,,,,,,,,,,,,,,,,,,,,,,,,,
178,121,3,Acanthella,121.3,Acanthella-larva,Acanthocephalan,Lifecycle Stage,Species,,Feeding,Infectious,Infectious,trophically transmitted parasite,,,,,,,,,,,,,Animalia,Acanthocephala,,,,,,,,,,,,,,
55,55,1,Adult,55.1,Mites,Acari,Taxon,Family,,Feeding,Freeliving,Freeliving,predator,,,Low,resident,,,,,,,,,Animalia,Chelicerata,,,Acari,,,,,,Halacaridae,,,,,
46,46,1,Adult,46.1,Aoridae amphipod,Amphipod,Taxon,Family,,Feeding,Freeliving,Freeliving,predator,,,Low,resident,,,,,,,,,Animalia,Crustacea,,,Malacostraca,,Amphipoda,,,,Aoridae,,,,,
48,48,1,Adult,48.1,Corophium insidiosum,Amphipod,Taxon,Species,,Feeding,Freeliving,Freeliving,predator,,,Low,resident,,,,,,,,,Animalia,Crustacea,,,Malacostraca,,Amphipoda,,,,,Corophium,insidiosum,,,
49,49,1,Adult,49.1,Corophium volutator,Amphipod,Taxon,Species,,Feeding,Freeliving,Freeliving,predator,,,Low,resident,,,,,,,,,Animalia,Crustacea,,,Malacostraca,,Amphipoda,,,,,Corophium ,volutator,,,
45,45,1,Adult,45.1,Gammarus locusta,Amphipod,Taxon,Species,,Feeding,Freeliving,Freeliving,predator,,,Low,resident,,,,,,,,,Animalia,Crustacea,,,Malacostraca,,Amphipoda,,,,,Gammarus,locusta,,,
42,42,1,Adult,42.1,Gammarus oceanicus,Amphipod,Taxon,Species,,Feeding,Freeliving,Freeliving,predator,,,Low,resident,,,,,,,,,Animalia,Crustacea,,,Malacostraca,,Amphipoda,,,,,Gammarus,oceanicus,,,
43,43,1,Adult,43.1,Gammarus salinus ,Amphipod,Taxon,Species,,Feeding,Freeliving,Freeliving,predator,,,Low,resident,,,,,,,,,Animalia,Crustacea,,,Malacostraca,,Amphipoda,,,,,Gammarus,salinus,,,
44,44,1,Adult,44.1,Gammarus zaddachi,Amphipod,Taxon,Species,,Feeding,Freeliving,Freeliving,predator,,,Low,resident,,,,,,,,,Animalia,Crustacea,,,Malacostraca,,Amphipoda,,,,,Gammarus,zaddachi,,,
47,47,1,Adult,47.1,Isaeid amphipod,Amphipod,Taxon,Family,,Feeding,Freeliving,Freeliving,predator,,,Low,resident,,,,,,,,,Animalia,Crustacea,,,Malacostraca,,Amphipoda,,,,Isaeidae,,,,,
12,12,1,Adult,12.1,Rag worm,Annelid,Taxon,Species,,Feeding,Freeliving,Freeliving,predator,,,Low,resident,,,,,,,,,Animalia,Annelida,,,Polychaeta,,,,,,,Hediste,diversicolor,,,
13,13,1,Adult,13.1,Spionid polychaete,Annelid,Taxon,Family,,Feeding,Freeliving,Freeliving,predator,,,Low,resident,,,,,,,,,Animalia,Annelida,,,Polychaeta,,,,,,Spionidae,,,,,
14,14,1,Adult,14.1,Tubificid oligochaete,Annelid,Taxon,Species,,Feeding,Freeliving,Freeliving,predator,,,Low,resident,,,,,,,,,Animalia,Annelida,,,Oligochaeta,,,,,,,Tubificoides,sp.,,,
57,57,1,Adult,57.1,Common starfish,Asteroid,Taxon,Species,,Feeding,Freeliving,Freeliving,predator,,,Intermediate,resident,,,,,,,,,Animalia,Echinodermata,,,Asteroidea,,,,,,,Asterias,rubens,,,
9,9,1,Adult,9.1,Bacteria,Bacteria,Common Name Group,Assemblage,,Feeding,Freeliving,Freeliving,detritivore,,,Low,resident,,,,,,,,,Prokaryota,,,,,,,,,,,,,,,
27,27,1,Adult,27.1,Bay barnacle,Barnacle,Taxon,Species,,Feeding,Freeliving,Freeliving,predator,,,Low,resident,,,,,,,,,Animalia,Crustacea,,,Cirripedia,,,,,,,Balanus,improvisus,,,
71,71,1,Adult,71.1,Cormorants,Bird,Taxon,Family,,Feeding,Freeliving,Freeliving,predator,,,High,migrant,,,,,,,,,Animalia,Chordata,,,Aves,,,,,,Phalacrocoracidae,,,,,
73,73,1,Adult,73.1,Eiders/Bay ducks,Bird,Taxon,Family,,Feeding,Freeliving,Freeliving,predator,,,High,migrant,,,,,,,,,Animalia,Chordata,,,Aves,,,,,,"Anatidae (Somateriinae, Athyinae)",,,,,
70,70,1,Adult,70.1,Grebes/Loons,Bird,Taxon,Family,,Feeding,Freeliving,Freeliving,predator,,,High,migrant,,,,,,,,,Animalia,Chordata,,,Aves,,,,,,Podicepidae/Gaviidae,,,,,
75,75,1,Adult,75.1,Gulls,Bird,Taxon,Family,,Feeding,Freeliving,Freeliving,predator,,,High,migrant,,,,,,,,,Animalia,Chordata,,,Aves,,,,,,Laridae ,,,,,
74,74,1,Adult,74.1,Plovers,Bird,Taxon,Family,,Feeding,Freeliving,Freeliving,predator,,,High,migrant,,,,,,,,,Animalia,Chordata,,,Aves,,,,,,Charadriidae,,,,,
77,77,1,Adult,77.1,Rails,Bird,Taxon,Family,,Feeding,Freeliving,Freeliving,predator,,,High,migrant,,,,,,,,,Animalia,Chordata,,,Aves,,,,,,Rallidae,,,,,
72,72,1,Adult,72.1,Shelducks/Ducks,Bird,Taxon,Family,,Feeding,Freeliving,Freeliving,predator,,,High,migrant,,,,,,,,,Animalia,Chordata,,,Aves,,,,,,"Anatidae (Tadorninae, Anatinae)",,,,,
76,76,1,Adult,76.1,Terns,Bird,Taxon,Family,,Feeding,Freeliving,Freeliving,predator,,,High,migrant,,,,,,,,,Animalia,Chordata,,,Aves,,,,,,Sternidae,,,,,
18,18,1,Adult,18.1,Baltic macoma,Bivalve,Taxon,Species,,Feeding,Freeliving,Freeliving,predator,,,Low,resident,,,,,,,,,Animalia,Mollusca,,,Bivalvia,,,,,,,Macoma ,balthica,,,
15,15,1,Adult,15.1,Blue mussel,Bivalve,Taxon,Species,,Feeding,Freeliving,Freeliving,predator,,,Low,resident,,,,,,,,,Animalia,Mollusca,,,Bivalvia,,,,,,,Mytilus,edulis,,,
16,16,1,Adult,16.1,Common cockle,Bivalve,Taxon,Species,,Feeding,Freeliving,Freeliving,predator,,,Low,resident,,,,,,,,,Animalia,Mollusca,,,Bivalvia,,,,,,,Cerastoderma,edule,,,
17,17,1,Adult,17.1,Soft-shelled clam,Bivalve,Taxon,Species,,Feeding,Freeliving,Freeliving,predator,,,Low,resident,,,,,,,,,Animalia,Mollusca,,,Bivalvia,,,,,,,Mya,arenaria,,,
28,28,1,Adult,28.1,Cladocera,Branchiopod,Taxon,Order,,Feeding,Freeliving,Freeliving,predator,,,Low,resident,,,,,,,,,Animalia,Crustacea,,,Branchiopoda,,Cladocera,,,,,,,,,
157,109,1,Adult,109.1,Caryophyllidea sp.,Cestode,Lifecycle Stage,Species,,Feeding,Infectious,Infectious,macroparasite,,,,,,,,,,,,,Animalia,Platyhelminthes,,,Cestoda,,,,,,Caryophyllidea,,,,,
159,110,1,Adult,110.1,Proteocephalus gobiorum /sp.,Cestode,Lifecycle Stage,Species,,Feeding,Infectious,Infectious,macroparasite,,,,,,,,,,,,,Animalia,Platyhelminthes,,,Cestoda,,,,,,,Protecocephalus,gobiorum,,,
29,29,1,Adult,29.1,Acartia bifilosa,Copepod,Taxon,Species,,Feeding,Freeliving,Freeliving,predator,,,Low,resident,,,,,,,,,Animalia,Crustacea,,,Copepoda,,Calanoida,,,,,Acartia,bifilosa,,,
31,31,1,Adult,31.1,Acartia discaudata,Copepod,Taxon,Species,,Feeding,Freeliving,Freeliving,predator,,,Low,resident,,,,,,,,,Animalia,Crustacea,,,Copepoda,,Calanoida,,,,,Acartia,discaudata,,,
30,30,1,Adult,30.1,Acartia tonsa,Copepod,Taxon,Species,,Feeding,Freeliving,Freeliving,predator,,,Low,resident,,,,,,,,,Animalia,Crustacea,,,Copepoda,,Calanoida,,,,,Acartia,tonsa,,,
32,32,1,Adult,32.1,Centropages hamatus,Copepod,Taxon,Species,,Feeding,Freeliving,Freeliving,predator,,,Low,resident,,,,,,,,,Animalia,Crustacea,,,Copepoda,,Calanoida,,,,,Centropages,hamatus,,,
37,37,1,Adult,37.1,Harpacticoid copepods,Copepod,Taxon,Order,,Feeding,Freeliving,Freeliving,predator,,,Low,resident,,,,,,,,,Animalia,Crustacea,,,Copepoda,,Harpacticoida,,,,,,,,,
35,35,1,Adult,35.1,Oithona atlantica,Copepod,Taxon,Species,,Feeding,Freeliving,Freeliving,predator,,,Low,resident,,,,,,,,,Animalia,Crustacea,,,Copepoda,,Cyclopoida,,,,,Oithona,atlantica,,,
36,36,1,Adult,36.1,Oithona similis,Copepod,Taxon,Species,,Feeding,Freeliving,Freeliving,predator,,,Low,resident,,,,,,,,,Animalia,Crustacea,,,Copepoda,,Cyclopoida,,,,,Oithona,similis,,,
33,33,1,Adult,33.1,Pseudocalanus elongatus,Copepod,Taxon,Species,,Feeding,Freeliving,Freeliving,predator,,,Low,resident,,,,,,,,,Animalia,Crustacea,,,Copepoda,,Calanoida,,,,,Pseudocalanus,elongatus,,,
34,34,1,Adult,34.1,Temora longicornis,Copepod,Taxon,Species,,Feeding,Freeliving,Freeliving,predator,,,Low,resident,,,,,,,,,Animalia,Crustacea,,,Copepoda,,Calanoida,,,,,Temora,longicornis,,,
180,123,1,Adult,123.1,Thersitina gasterostei,Copepod,Lifecycle Stage,Species,,Feeding,Infectious,Infectious,macroparasite,,,,,,,,,,,,,Animalia,Crustacea,,,Copepoda,,,,,,Ergalisidae,Thersitina,gasterostei,,,
41,41,1,Adult,41.1,European green crab,Crab,Taxon,Species,,Feeding,Freeliving,Freeliving,predator,,,Intermediate,resident,,,,,,,,,Animalia,Crustacea,,,Malacostraca,,Decapoda,,,,,Carcinus,maenas,,,
56,56,1,Adult,56.1,Chironomids,Chironomid,Taxon,Family,,Feeding,Freeliving,Freeliving,predator,,,Low,resident,,,,,,,,,Animalia,Hexapoda,,,Insecta,,Diptera,,,,Chironomidae,,,,,
63,63,1,Adult,63.1,Black goby,Fish,Taxon,Species,,Feeding,Freeliving,Freeliving,predator,,,High,resident,,,,,,,,,Animalia,Chordata,,,Osteichthyes ,,,,,,,Gobius,niger,,,
66,66,1,Adult,66.1,Broad-nosed pipefish,Fish,Taxon,Species,,Feeding,Freeliving,Freeliving,predator,,,High,resident,,,,,,,,,Animalia,Chordata,,,Osteichthyes ,,,,,,,Syngnathus,typhle,,,
62,62,1,Adult,62.1,Butterfish,Fish,Taxon,Species,,Feeding,Freeliving,Freeliving,predator,,,High,resident,,,,,,,,,Animalia,Chordata,,,Osteichthyes ,,,,,,,Pholis,gunnellus,,,
59,59,1,Adult,59.1,Common goby,Fish,Taxon,Species,,Feeding,Freeliving,Freeliving,predator,,,High,resident,,,,,,,,,Animalia,Chordata,,,Osteichthyes ,,,,,,,Pomatoschistus,microps,,,
65,65,1,Adult,65.1,Dover sole,Fish,Taxon,Species,,Feeding,Freeliving,Freeliving,predator,,,High,resident,,,,,,,,,Animalia,Chordata,,,Osteichthyes ,,,,,,,Solea,solea,,,
64,64,1,Adult,64.1,European flounder,Fish,Taxon,Species,,Feeding,Freeliving,Freeliving,predator,,,High,resident,,,,,,,,,Animalia,Chordata,,,Osteichthyes ,,,,,,,Pleuronectes,flesus,,,
69,69,1,Adult,69.1,Nine-spined stickleback,Fish,Taxon,Species,,Feeding,Freeliving,Freeliving,predator,,,High,resident,,,,,,,,,Animalia,Chordata,,,Osteichthyes ,,,,,,,Pungitius,pungitius,,,
60,60,1,Adult,60.1,Painted goby,Fish,Taxon,Species,,Feeding,Freeliving,Freeliving,predator,,,High,resident,,,,,,,,,Animalia,Chordata,,,Osteichthyes ,,,,,,,Pomatoschistus,pictus,,,
58,58,1,Adult,58.1,Sand goby,Fish,Taxon,Species,,Feeding,Freeliving,Freeliving,predator,,,High,resident,,,,,,,,,Animalia,Chordata,,,Osteichthyes ,,,,,,,Pomatoschistus,minutus,,,
68,68,1,Adult,68.1,Sea stickleback,Fish,Taxon,Species,,Feeding,Freeliving,Freeliving,predator,,,High,resident,,,,,,,,,Animalia,Chordata,,,Osteichthyes ,,,,,,,Spinachia,spinachia,,,
67,67,1,Adult,67.1,Three-spined stickleback,Fish,Taxon,Species,,Feeding,Freeliving,Freeliving,predator,,,High,resident,,,,,,,,,Animalia,Chordata,,,Osteichthyes ,,,,,,,Gasterosterus,aculeatus,,,
61,61,1,Adult,61.1,Two-spotted goby,Fish,Taxon,Species,,Feeding,Freeliving,Freeliving,predator,,,High,resident,,,,,,,,,Animalia,Chordata,,,Osteichthyes ,,,,,,,Gobiusculus,flavescens,,,
80,80,1,Adult,80.1,Glugea anomala,Fungus,Taxon,Species,,Feeding,Infectious,Infectious,pathogen,,,,,,,,,,,,,Fungi,Microsporidia,,,,,,,,,,Glugea,anomala,,,
50,50,1,Adult,50.1,Idothea balthica,Isopod,Taxon,Species,,Feeding,Freeliving,Freeliving,predator,,,Low,resident,,,,,,,,,Animalia,Crustacea,,,Malacostraca,,Isopoda,,,,,Idothea,balthica,,,
51,51,1,Adult,51.1,Idothea chelipes,Isopod,Taxon,Species,,Feeding,Freeliving,Freeliving,predator,,,Low,resident,,,,,,,,,Animalia,Crustacea,,,Malacostraca,,Isopoda,,,,,Idothea ,chelipes,,,
52,52,1,Adult,52.1,Jaera albifrons,Isopod,Taxon,Species,,Feeding,Freeliving,Freeliving,predator,,,Low,resident,,,,,,,,,Animalia,Crustacea,,,Malacostraca,,Isopoda,,,,,Jaera,albifrons,,,
8,8,1,Adult,8.1,Meiofauna,Meiofauna,Common Name Group,Assemblage,"This assemblage includes Phyla like free-living nematodes, gnathostimulids and kinorhynchs.",Feeding,Freeliving,Freeliving,predator,,,Low,resident,,,,,,,,,Animalia,,,,,,,,,,,,,,,
81,81,1,Adult,81.1,Dactylogyrus sp.,Monogenean,Taxon,Species,,Feeding,Infectious,Infectious,macroparasite,,,,,,,,,,,,,Animalia,Platyhelminthes,,,Trematoda,,Monogenea,,,,,Dactylogyrus,sp.,,,
82,82,1,Adult,82.1,Gyrodactylus spp.,Monogenean,Taxon,Species,,Feeding,Infectious,Infectious,pathogen,,,,,,,,,,,,,Animalia,Platyhelminthes,,,Trematoda,,Monogenea,,,,,Gyrodactylus,spp.,,,
163,113,1,Adult,113.1,Ascarophis arctica,Nematode,Lifecycle Stage,Species,,Feeding,Infectious,Infectious,macroparasite,,,,,,,,,,,,,Animalia,Nematoda,,,,,,,,,,Ascarophis,arctica,,,
171,116,1,Adult,116.1,Capillaria sp.,Nematode,Lifecycle Stage,Species,,Feeding,Infectious,Infectious,macroparasite,,,,,,,,,,,,,Animalia,Nematoda,,,,,,,,,,Capillaria,sp.,,,
165,114,1,Adult,114.1,Contracaecum sp. / osculatum,Nematode,Lifecycle Stage,Species,,Feeding,Infectious,Infectious,macroparasite,,,,,,,,,,,,,Animalia,Nematoda,,,,,,,,,,Contracaecum,sp.,,,
175,119,1,Adult,119.1,Cosmocephalus obvelatus,Nematode,Lifecycle Stage,Species,,Feeding,Infectious,Infectious,macroparasite,,,,,,,,,,,,,Animalia,Nematoda,,,,,,,,,,Cosmocephalus,obvelatus,,,
